Post Date,Description,Amount
01/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
01/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
01/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
01/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
01/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
01/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
01/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
01/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
01/31/2026,Invoice #22182 - Gratitude and Growth Counseling LLC,99.00
01/31/2026,Invoice #22183 - Andy Studer Therapy,99.00
02/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
02/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
02/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
02/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
02/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
02/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
02/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
02/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
03/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
03/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
03/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
03/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
03/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
03/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
03/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
03/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
03/02/2026,Invoice #22188 - Andy Studer Therapy,99.00
03/02/2026,Invoice #22189 - Gratitude and Growth Counseling LLC,99.00
03/31/2026,Invoice #22192 - Andy Studer Therapy,99.00
03/31/2026,Invoice #22193 - Gratitude and Growth Counseling LLC,99.00
04/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
04/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
04/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
04/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
04/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
04/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
04/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
04/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
05/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
05/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
05/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
05/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
05/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
05/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
05/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
05/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
05/04/2026,Invoice #22196 - Gratitude and Growth Counseling LLC,99.00
05/04/2026,Invoice #22197 - Andy Studer Therapy,99.00
06/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
06/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
06/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
06/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
06/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
06/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
06/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
06/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
06/08/2026,Invoice #22201 - Andy Studer Therapy,99.00
06/08/2026,Invoice #22202 - Gratitude and Growth Counseling LLC,99.00
07/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
07/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
07/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
07/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
07/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
07/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
07/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
